Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.47274120865545E-05,2.60208521396521E-18,0.00997358604267652,0,0,0,4.43956506959753,0.011264086471396,0,-3.9899015803462E-07,0.0112561237846214,-1.52025019201596E-19,0.0222246652404969,0,0,0,0,0,0,package://atomgrip/meshes/base_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/base_link.STL,acrylic,Base de disco giratorio-1,base1link_cs <Base de disco giratorio-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base2_link,0.00881467397029259,-0.0384084236388728,0.045,0,0,0,3.03649454915767,0.00625389630329675,-1.71138067876824E-06,-2.03287907341032E-19,0.0103833691748017,3.10181037743425E-20,0.00541479393702098,0,0,0,0,0,0,package://atomgrip/meshes/base2_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/base2_link.STL,acrylic,Disco Giratorio-1,base2link_cs <Disco Giratorio-1>,base2link_axis <Disco Giratorio-1>,base2_joint,revolute,-0.0374487962042736,0.0264580358842217,0.0719999999999999,1.5707963267949,0,0.76259461074262,base_link,0,0,1,10,1,0,3.141,,,,,,,,
shoulder2elbow1_link,-0.06,5.55111512312578E-17,-0.00220000000000001,0,0,0,0.531909704004154,6.1002475052105E-05,1.38913403349705E-19,-1.51847375562047E-06,0.00115530783124693,-2.03287907341032E-20,0.0011967441684999,0,0,0,0,0,0,package://atomgrip/meshes/shoulder2elbow1_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/shoulder2elbow1_link.STL,acrylic,Articulacion 1.1-1,shoulder2elbow1_cs <Articulacion 1.1-1>,shoulder2elbow1_axis <Articulacion 1.1-1>,shoulder2elbow1_joint,revolute,-0.0944312505240291,0.0740455192734039,0.0753000000000002,3.14159265358979,0,2.47660935001473,base2_link,0,0,-1,10,1,0,3.141,,,,,,,,
elbow2twist1_link,0.059349184878966,3.83776344037301E-11,0.00749999883787238,0,0,0,0.635762030380392,7.62342936147976E-05,-8.88655275532507E-13,6.39689229850776E-13,0.00221201698107452,1.39180997998402E-14,0.00226493473056416,0,0,0,0,0,0,package://atomgrip/meshes/elbow2twist1_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/elbow2twist1_link.STL,acrylic,Articulacion 2.1-1,elbow2twist1_cs <Articulacion 2.1-1>,elbow2twist1_axis <Articulacion 2.1-1>,elboe2twist1_joint,revolute,0,0,0.00530000000000014,0,0,-1.20891368126198,shoulder2elbow1_link,0,0,1,10,1,0,3.141,,,,,,,,
twist_link,1.07448372976826E-08,0.0390661320531351,0.0371379342080336,0,0,0,0.5418135868326,0.00138801724351832,2.60055734623487E-10,2.12597479480229E-10,0.000771257774086178,7.80376054974566E-06,0.000664799889820858,0,0,0,0,0,0,package://atomgrip/meshes/twist_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/twist_link.STL,acrylic,Articulacion 3.1-1,twist_cs <Articulacion 3.1-1>,twist_axis <Articulacion 3.1-1>,twist_joint,continuous,0.12,0,0.075,3.14159265358979,0,1.5707963267949,elbow2twist1_link,0,0,-1,10,1,0,0,,,,,,,,
Gripper1_link,-5.55111512312578E-17,-2.77555756156289E-17,0.00144453500235753,0,0,0,0.000308029324600948,1.57864125961541E-08,-1.21233658527303E-23,1.86115637824431E-24,1.72478352184127E-09,-3.05022850878929E-24,1.64023226180906E-08,0,0,0,0,0,0,package://atomgrip/meshes/Gripper1_link.STL,0,0,0,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper1_link.STL,,Gripper1-1,gripper1_cs <Gripper1-1>,gripper1_axis <Gripper1-1>,Gripper1_joint,revolute,0,0.0949999999999981,0.0375000000000036,1.5707963267949,1.01617926468545,0,twist_link,0,0,-1,0,0,0,3.141,,,,,,,,
Gripper2.1_link,0,0.000902500024634628,0.00273409113717277,0,0,0,0.000802695785022661,2.04526485535668E-08,2.02659250075492E-23,1.28212994945719E-23,4.01345338566827E-08,5.69892763771812E-09,3.22135146497723E-08,0,0,0,0,0,0,package://atomgrip/meshes/Gripper2.1_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper2.1_link.STL,,Gripper2-2,gripper2_cs <Gripper2-2>,gripper2_axis <Gripper2-1>,Gripper2.1_joint,continuous,0,0.00699999999999959,-0.00200000000000083,3.14159265358979,0,3.14159265358979,Gripper1_link,0,0,-1,,,,,,,,,,,,
Gripper2.2_link,0,0.000902500024634573,0.00273409113717277,0,0,0,0.000802695785022658,2.04526485535668E-08,-1.24077091882954E-24,-2.48154183765908E-24,4.01345338566826E-08,5.69892763771813E-09,3.22135146497721E-08,0,0,0,0,0,0,package://atomgrip/meshes/Gripper2.2_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper2.2_link.STL,,Gripper2-1,gripper2_cs <Gripper2-1>,gripper2_axis <Gripper2-1>,Gripper2.2_joint,continuous,0,-0.0070000000000017,-0.00200000000000006,-3.14159265358979,0,0,Gripper1_link,0,0,-1,,,,,,,,,,,,
Gripper3_link,-0.000489828020000443,0.00150000006718251,-0.0313545629406169,0,0,0,0.00418804587945458,1.37292715797285E-06,6.94512978693469E-15,4.01013698687832E-08,2.00026573911708E-06,-4.06227747668214E-15,6.33608934057656E-07,0,0,0,0,0,0,package://atomgrip/meshes/Gripper3_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper3_link.STL,,Gripper3-1,gripper3_cs <Gripper3-1>,gripper3_axis <Gripper3-1>,Gripper3_joint,continuous,0,-0.0120000000000012,0.00500000000000014,3.14159265358979,0,-3.14159265358979,Gripper2.2_link,0,0,-1,,,,,,,,,,,,
Gripper4.1_link,-0.0056632123953004,0.00134615051202581,0.00149999999999995,0,0,0,0.0019627521866613,6.81631270097617E-08,2.09591233316627E-08,-4.96308367531817E-24,2.78036989310812E-07,-5.54211010410529E-23,3.43255988040581E-07,0,0,0,0,0,0,package://atomgrip/meshes/Gripper4.1_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper4.1_link.STL,,Gripper4-1,gripper4_cs <Gripper4-1>,gripper4_axis <Gripper4-1>,Gripper4.1_joint,revolute,-0.0135000000000009,0.00300000000000039,-0.0375997159067978,-1.57079632679489,-1.36586679681116,0,Gripper3_link,0,0,-1,0,0,-3.141,3.141,,,,,,,,
Gripper5.1_link,-0.0307762066469282,-0.0146044173900614,-0.00149999999999997,0,0,0,0.00146871763406109,6.96756987728522E-08,1.46795920686148E-07,8.27180612553028E-23,4.0257341490677E-07,-6.86559908419013E-23,4.7004603722853E-07,0,0,0,0,0,0,package://atomgrip/meshes/Gripper5.1_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper5.1_link.STL,,Gripper5-1,gripper5_cs <Gripper5-2>,gripper5_axis <Gripper5-2>,Gripper5.1_joint,continuous,-0.0253033264623164,0.0299701345509364,0.00599999999999976,0,0,0.141019882371029,Gripper4.1_link,0,0,1,,,,,,,,,,,,
Gripper4.2_link,-0.00566321239530032,0.00134615051202577,0.00149999999999997,0,0,0,0.0019627521866613,6.81631270097615E-08,2.09591233316625E-08,-3.97046694025453E-23,2.78036989310811E-07,3.63959469523332E-23,3.4325598804058E-07,0,0,0,0,0,0,package://atomgrip/meshes/Gripper4.2_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper4.2_link.STL,,Gripper4-2,gripper4_cs <Gripper4-2>,gripper4_axis <Gripper4-2>,Gripper4.2_joint,revolute,0.013499999999981,0.00600000000000001,-0.0375997159067851,-1.57079632679494,-1.53054204372771,-3.14159265358975,Gripper3_link,0,0,-1,0,0,-3.141,3.141,,,,,,,,
Gripper5.2_link,-0.0237454614720194,0.00393636292072587,-0.00149999999999997,0,0,0,0.00146871763406109,4.03152207786004E-08,1.04465154923335E-07,4.79764755280756E-23,4.31933892901021E-07,-9.92616735063633E-24,4.7004603722853E-07,0,0,0,0,0,0,package://atomgrip/meshes/Gripper5.2_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://atomgrip/meshes/Gripper5.2_link.STL,,Gripper5-2,gripper5_cs <Gripper5-2>,gripper5_axis <Gripper5-2>,Gripper5.2_joint,continuous,-0.0307347907026021,0.00404631195880037,-0.00299999999999997,3.14159265358979,0,-0.38620369542195,Gripper4.2_link,0,0,1,,,,,,,,,,,,
shoulder2elbow2.2_link,-0.06,0,-0.00114757930854897,0,0,0,0.531909704004154,6.1001270919916E-05,1.18584612615602E-19,-2.11758236813575E-22,0.00115530662711474,1.01643953670516E-20,0.0011967441684999,0,0,0,0,0,0,package://atomgrip/meshes/shoulder2elbow2.2_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/shoulder2elbow2.2_link.STL,acrylic,Articulacion 1-3,shoulder2elbow2_cs <Articulacion 1-3>,shoulder2elbow2_axis <Articulacion 1-3>,shoulder2elbow2.2_joint,revolute,-0.0944312505240287,0.0740455192734049,-0.0136000000000002,3.14159265358979,0,2.47660935001473,base2_link,0,0,-1,10,1,0,3.141,,,,,,,,
elbow2twist2.2_link,0.0589605745393807,0,0.0075,0,0,0,0.667644573828628,7.77994390416779E-05,-4.94667241196511E-19,1.30231315640349E-20,0.00234823032643911,4.74338450462408E-20,0.00240137155496887,0,0,0,0,0,0,package://atomgrip/meshes/elbow2twist2.2_link.STL,1,0.72156862745098,0.329411764705882,1,0,0,0,0,0,0,package://atomgrip/meshes/elbow2twist2.2_link.STL,acrylic,Articulacion 2.2-1,elbow2twist2_cs <Articulacion 2.2-1>,elbow2twist2_axis <Articulacion 2.2-1>,elbow2twist2.2_joint,revolute,0,0,-0.0236000000000036,0,0,-1.20891368126198,shoulder2elbow2.2_link,0,0,-1,10,1,0,3.141,,,,,,,,
